City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
617,Manokwari,ID,81.61,moderate rain,-0.8667,134.0833,Swiss Belhotel Manokwari
618,Soe,ID,79.21,broken clouds,-9.8607,124.28399999999999,Dena Hotel
619,Tura,IN,84.2,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
620,Mahajanga,MG,75.2,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
623,Mamallapuram,IN,84.2,haze,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
624,Matamoros,MX,87.8,clear sky,25.5333,-103.25,Quinta Belem
628,Roebourne,AU,88.23,broken clouds,-20.7833,117.1333,Harding River Caravan Park
629,Bongandanga,CD,71.26,overcast clouds,1.5,21.05,
631,Port-Gentil,GA,81.97,moderate rain,-0.7193,8.7815,Fengshui Residence
632,Arlit,NE,79.7,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
633,Soyo,AO,78.26,light rain,-6.1349,12.3689,Hotel Mpampa
635,Cotonou,BJ,81.41,broken clouds,6.3654,2.4183,Novotel Cotonou Orisha
636,Bourail,NC,78.85,overcast clouds,-21.5667,165.4833,Motel Allamanda
638,Alta Floresta,BR,71.73,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
641,Kikwit,CD,70.81,overcast clouds,-5.041,18.8162,Guest L'Amour
642,Lalmohan,BD,84.87,clear sky,22.3384,90.7419,Sundorbon courier service
647,Port Macquarie,AU,78.01,clear sky,-31.4333,152.9167,Rydges Port Macquarie
648,Pontes E Lacerda,BR,71.04,scattered clouds,-15.2261,-59.3353,Hotel Bressan
649,Edd,ER,78.94,broken clouds,13.9297,41.6925,
650,Alice Springs,AU,75.0,clear sky,-23.7,133.8833,Desert Palms Alice Springs
656,Jertih,MY,86.0,few clouds,5.7336,102.4897,One Utama Hotel
659,Bandarbeyla,SO,78.01,clear sky,9.4942,50.8122,JABIR HOTEL
661,Corrente,BR,71.53,moderate rain,-3.7367,-43.3394,Chapadinhense Hotel
