City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Okhotsk,RU,2021-04-05 02:13:46,59.3833,143.3,24.66,90,100,4.43
94,Kitgum,UG,2021-04-05 02:18:09,3.2783,32.8867,66.15,90,59,5.14
95,Bosaso,SO,2021-04-05 02:18:09,11.2842,49.1816,77.58,70,6,5.17
96,Japura,ID,2021-04-05 02:18:10,-0.3167,102.35,83.48,68,100,3.53
97,Huayucachi,PE,2021-04-05 02:18:10,-12.1333,-75.2333,52.86,85,100,4.03
98,Cururupu,BR,2021-04-05 02:18:11,-1.8283,-44.8683,75.25,96,98,4.21
99,Eyl,SO,2021-04-05 02:18:11,7.9803,49.8164,78.13,81,100,3.71
100,Wewak,PG,2021-04-05 02:18:12,-3.5534,143.6268,83.77,73,94,3.33
101,Qaanaaq,GL,2021-04-05 02:14:30,77.484,-69.3632,-11.81,56,16,9.82
102,Kavieng,PG,2021-04-05 02:18:12,-2.5744,150.7967,83.05,70,98,3.4
103,Gambo,CF,2021-04-05 02:18:13,4.6482,22.2633,70.47,72,64,1.16
104,Camacha,PT,2021-04-05 02:18:13,33.0833,-16.3333,59.0,77,20,1.32
105,Cabra,ES,2021-04-05 02:16:16,37.4725,-4.4421,57.2,88,90,4.61
106,Axim,GH,2021-04-05 02:16:18,4.8699,-2.2405,78.93,89,100,5.3
107,Inhambane,MZ,2021-04-05 02:18:14,-23.865,35.3833,66.97,81,0,5.93
108,Stornoway,GB,2021-04-05 02:18:14,58.2093,-6.3865,30.2,64,99,23.02
109,Westport,US,2021-04-05 02:18:15,41.1415,-73.3579,53.6,35,1,8.05
110,Miraflores,MX,2021-04-05 02:18:15,19.2167,-98.8083,68.0,17,40,13.8
111,Kuantan,MY,2021-04-05 02:18:16,3.8077,103.326,80.6,89,20,5.19
112,Thinadhoo,MV,2021-04-05 02:18:16,0.5333,72.9333,82.89,76,64,14.09
113,Princeton,US,2021-04-05 02:13:36,25.5384,-80.4089,66.99,68,1,5.75
114,Roanoke Rapids,US,2021-04-05 02:18:16,36.4615,-77.6542,55.4,62,1,4.61
115,Norman Wells,CA,2021-04-05 02:17:33,65.282,-126.8329,30.2,55,75,5.75
116,Hami,CN,2021-04-05 02:17:40,42.8,93.45,54.77,30,53,11.41
117,Cabo San Lucas,MX,2021-04-05 02:13:47,22.8909,-109.9124,84.2,21,1,11.5
118,Muisne,EC,2021-04-05 02:18:17,0.6,-80.0333,76.19,93,100,6.17
119,Pisco,PE,2021-04-05 02:17:36,-13.7,-76.2167,73.4,83,20,2.3
120,Mosquera,CO,2021-04-05 02:18:18,4.7059,-74.2302,57.2,82,75,2.3
121,Sao Filipe,CV,2021-04-05 02:18:18,14.8961,-24.4956,73.53,71,0,7.11
122,Nioro,GM,2021-04-05 02:18:19,13.35,-15.75,76.95,50,93,6.55
123,Presque Isle,US,2021-04-05 02:18:19,46.6811,-68.0159,32.0,100,90,18.41
124,Chuy,UY,2021-04-05 02:18:20,-33.6971,-53.4616,67.5,88,0,9.84
125,San Cristobal,VE,2021-04-05 02:17:36,7.7669,-72.225,77.0,94,75,2.3
126,Haines Junction,CA,2021-04-05 02:18:20,60.7522,-137.5108,41.0,45,100,4.61
127,Bambous Virieux,MU,2021-04-05 02:18:21,-20.3428,57.7575,80.01,77,25,5.99
128,Houma,US,2021-04-05 02:18:21,29.5958,-90.7195,62.01,77,1,3.44
129,Agaro,ET,2021-04-05 02:16:14,7.85,36.65,63.97,70,50,1.59
130,Ponta Do Sol,PT,2021-04-05 02:18:07,32.6667,-17.1,55.99,67,91,5.01
131,Varhaug,NO,2021-04-05 02:18:22,58.6147,5.6457,28.99,91,100,11.01
132,New Norfolk,AU,2021-04-05 02:17:46,-42.7826,147.0587,68.0,49,70,3.0
