City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Description
312,Constitucion,CL,-35.3333,-72.4167,52.68,77,0,clear sky
313,Santiago Del Estero,AR,-27.7951,-64.2615,62.44,69,100,overcast clouds
314,Talnakh,RU,69.4865,88.3972,26.24,96,77,broken clouds
315,Nanlong,CN,31.3533,106.0631,56.05,87,100,overcast clouds
316,Kamenka,RU,51.3223,42.7678,37.0,92,99,overcast clouds
317,Muroto,JP,33.2833,134.15,64.4,45,40,scattered clouds
318,Aykhal,RU,66.0,111.5,12.43,43,0,clear sky
319,Kingman,US,35.1894,-114.053,66.2,10,1,clear sky
320,Biak,ID,-0.9131,122.8766,83.79,67,82,broken clouds
321,Kiunga,PG,-6.1219,141.2906,77.97,95,74,broken clouds
322,Zyryanka,RU,65.75,150.85,2.98,78,100,overcast clouds
323,Siniscola,IT,40.5719,9.6922,59.0,77,0,clear sky
324,Bafia,CM,4.75,11.2333,72.23,92,100,light rain
325,Inverell,AU,-29.7833,151.1167,71.01,44,0,clear sky
326,Cabo San Lucas,MX,22.8909,-109.9124,80.6,28,40,scattered clouds
327,Koshurnikovo,RU,54.1667,93.3,28.71,78,6,clear sky
328,Sola,VU,-13.8833,167.55,86.0,79,75,broken clouds
329,Flinders,AU,-34.5833,150.8552,66.0,42,5,clear sky
330,Cidreira,BR,-30.1811,-50.2056,74.39,84,100,overcast clouds
331,Nouna,BF,12.7333,-3.8667,84.9,9,1,clear sky
332,Mvuma,ZW,-19.2792,30.5283,53.06,89,0,clear sky
333,High Level,CA,58.5169,-117.136,17.6,49,40,scattered clouds
334,Macamic,CA,48.7502,-78.9996,44.6,87,1,clear sky
335,Rayevskaya,RU,44.8319,37.5556,42.8,87,100,light rain
336,Nome,US,64.5011,-165.4064,12.99,67,90,overcast clouds
337,Broken Hill,AU,-31.95,141.4333,60.8,41,90,overcast clouds
338,Banjar,ID,-8.19,114.9675,86.0,79,40,scattered clouds
339,Severo-Kurilsk,RU,50.6789,156.125,31.42,75,29,scattered clouds
340,Baffa,PK,34.4378,73.2194,62.19,61,100,overcast clouds
341,Alappuzha,IN,9.49,76.3264,81.79,74,8,clear sky
342,Comodoro Rivadavia,AR,-45.8667,-67.5,59.0,47,0,clear sky
343,Shenjiamen,CN,29.9576,122.298,59.7,98,100,light rain
344,Caravelas,BR,-17.7125,-39.2481,73.56,85,52,broken clouds
345,Zabaykalsk,RU,49.6333,117.3167,38.26,37,100,light rain
346,Oberhausen,DE,51.4667,6.85,48.99,100,75,moderate rain
347,Henties Bay,NA,-22.116,14.2845,75.99,47,0,clear sky
348,Ambon,ID,-3.6954,128.1814,87.8,70,20,few clouds
349,Krasnoselkup,RU,65.7,82.4667,32.32,92,24,few clouds
350,Shingu,JP,33.7333,135.9833,62.6,51,20,few clouds
351,Coahuayana,MX,18.7333,-103.6833,70.09,79,75,broken clouds
352,Luwuk,ID,-0.9516,122.7875,86.52,66,76,broken clouds
353,Guanambi,BR,-14.2233,-42.7814,73.42,58,75,broken clouds
354,Knyaze-Volkonskoye,RU,48.4642,135.4567,51.8,32,20,few clouds
355,Pevek,RU,69.7008,170.3133,-7.91,89,73,broken clouds
356,Davila,PH,18.4726,120.5763,87.8,51,20,few clouds
357,Egvekinot,RU,66.3167,-179.1667,0.23,79,100,overcast clouds
358,Nantucket,US,41.2835,-70.0995,46.4,100,90,fog
359,Lianzhou,CN,24.7811,112.3825,72.95,72,100,overcast clouds
360,Copiapo,CL,-27.3667,-70.3333,57.2,82,90,overcast clouds
361,Kamaishi,JP,39.2667,141.8833,57.2,33,20,few clouds
362,Kulhudhuffushi,MV,6.6221,73.07,82.74,71,19,few clouds
363,Padampur,IN,29.6833,73.6167,85.98,9,4,clear sky
364,Kijang,KR,35.2442,129.2139,64.4,42,0,clear sky
365,Muli,MV,2.9167,73.5667,82.78,74,20,few clouds
366,Maragogi,BR,-9.0122,-35.2225,77.16,89,99,overcast clouds
367,Mahon,ES,39.8885,4.2658,53.6,94,20,few clouds
368,Winslow,US,35.0242,-110.6974,64.4,7,1,clear sky
369,Bolanos De Calatrava,ES,38.9069,-3.6635,51.01,89,6,clear sky
370,Awjilah,LY,29.1081,21.2869,53.26,38,33,scattered clouds
371,Foindu,SL,7.4108,-11.5422,77.61,91,100,overcast clouds
372,Rawson,AR,-43.3002,-65.1023,61.92,35,66,broken clouds
373,Shelburne,CA,44.0787,-80.2041,57.99,59,100,overcast clouds
374,Opuwo,NA,-18.0607,13.84,65.75,40,6,clear sky
375,Balti,MD,47.7617,27.9289,39.0,67,0,light rain
376,Aklavik,CA,68.2191,-135.0107,-2.2,50,36,scattered clouds
377,Tezu,IN,27.9167,96.1667,86.72,35,16,few clouds
378,Santa Cruz Cabralia,BR,-16.2781,-39.0247,73.4,88,20,few clouds
379,Ginda,IN,30.6945,78.4932,68.63,10,0,clear sky
380,Cap Malheureux,MU,-19.9842,57.6142,80.01,73,99,overcast clouds
381,Lerwick,GB,60.1545,-1.1494,32.0,86,53,broken clouds
382,Batemans Bay,AU,-35.7167,150.1833,62.01,43,32,scattered clouds
383,Pacific Grove,US,36.6177,-121.9166,53.6,71,20,few clouds
384,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.41,88,97,overcast clouds
385,Ayaviri,PE,-14.8864,-70.5889,44.06,89,100,light rain
386,Villaviciosa,ES,43.4813,-5.4357,55.0,74,100,overcast clouds
387,Wawa,NG,9.9022,4.4192,83.25,59,79,broken clouds
388,Chuy,UY,-33.6971,-53.4616,69.12,97,100,light rain
389,Segezha,RU,63.7415,34.3222,32.52,75,99,overcast clouds
