City_ID,City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
143,405,Kampot,KH,87.8,scattered clouds,10.6167,104.1833,Two Moons Hotel
144,406,Dhidhdhoo,MV,82.72,few clouds,6.8833,73.1,Dhidhoo beach
145,414,Yulara,AU,73.4,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
147,419,Sechura,PE,73.29,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
148,420,Tahoua,NE,80.6,clear sky,14.8888,5.2692,Bungalows Guesthouse
149,427,Muisne,EC,76.8,broken clouds,0.6,-80.0333,Quinta Samay
150,430,Whitianga,NZ,78.01,broken clouds,-36.8333,175.7,Beachside Resort Whitianga
151,435,Vao,NC,77.16,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
152,438,Vila Velha,BR,73.99,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
154,441,Jiwani,PK,77.56,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
155,444,Atambua,ID,81.75,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
156,447,Ixtapa,MX,75.2,clear sky,20.7,-105.2,Hotel Plaza Providencia
157,451,Meulaboh,ID,82.54,few clouds,4.1363,96.1285,Kost Pria
159,461,Bilma,NE,80.06,clear sky,18.6853,12.9164,Expeditions Ténére voyages
160,463,Baculin,PH,85.86,overcast clouds,7.4525,126.5842,Shovy's Cove
161,464,Buala,SB,84.65,light rain,-8.145,159.5921,Maringe Lagoon Lodge
162,465,Hirara,JP,77.0,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
163,472,Port Blair,IN,85.5,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
164,473,Bathsheba,BB,78.8,volcanic ash,13.2167,-59.5167,Atlantis Hotel
165,478,Palu,ID,79.05,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
166,480,Qui Nhon,VN,83.19,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
167,483,Angoche,MZ,76.1,overcast clouds,-16.2325,39.9086,Guest House HESADA
168,484,Isangel,VU,86.0,scattered clouds,-19.55,169.2667,Volcano Sea View Tree House
169,486,Mier,MX,82.4,clear sky,26.4333,-99.15,Mier 09
170,488,Marsh Harbour,BS,75.18,clear sky,26.5412,-77.0636,Abaco Beach Resort
171,490,Ciudad Bolivar,VE,79.39,overcast clouds,8.1222,-63.5497,Hotel Edi
172,491,Tuy Hoa,VN,82.85,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
173,493,Susangerd,IR,77.0,broken clouds,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
174,494,Iquitos,PE,78.8,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
175,496,Dickinson,US,73.0,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
176,504,Urucara,BR,73.71,overcast clouds,-2.5364,-57.76,Hotel japa
177,506,Nata,PA,79.5,overcast clouds,8.3333,-80.5167,Cabañas Estancia Bayamon
178,507,Pochutla,MX,79.0,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
179,508,Cananea,MX,70.0,scattered clouds,30.95,-110.3,Casas Montoya
180,514,Celestun,MX,80.04,clear sky,20.8667,-90.4,Posada Lilia
181,518,Donghai,CN,77.0,clear sky,22.9459,115.642,Huacheng Restaurant
182,529,Buluang,PH,89.06,few clouds,13.3068,123.3425,Enon Beach Resort
